Equipo,Municipio,Sección,Sexo,Edad,Ocupación,"31. Si el día de hoy fueran las elecciones para elegir la presidencia municipal, ¿por cuál de los siguientes partidos votaría?","32. Si el día de hoy fueran las elecciones para elegir la presidencia municipal, ¿por cuál de los siguientes partidos NUNCA votaría?","33. Si el día de hoy fueran las elecciones para elegir la diputación por el distrito 12, ¿por cuál de los siguientes partidos votaría?","34. Si el día de hoy fueran las elecciones para elegir la diputación por el distrito 12, ¿por cuál de los siguientes partidos NUNCA votaría?",_Capturar ubicación GPS_latitude,_Capturar ubicación GPS_longitude,_id,_submitted_by
EQUIPO 1,ZAPOPAN,3209,Mujer,74,Cuidado del hogar,MOVIMIENTO CIUDADANO,PRI,MOVIMIENTO CIUDADANO,Ninguno,20.6180819,-103.4373808,115712,user66
EQUIPO 1,ZAPOPAN,3209,Hombre,31,Trabajador/a,PRI,MOVIMIENTO CIUDADANO,PRI,MORENA,20.6180736,-103.43689,115713,user66
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,3814,Mujer,40,Trabajador/a,MOVIMIENTO CIUDADANO,PRI,,,20.5201529,-103.4543698,115714,user138
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,3814,Mujer,48,Trabajador/a,PAN,MORENA,,,20.5197586,-103.4544439,115715,user138
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,3814,Mujer,45,Cuidado del hogar,Ninguno,No contestó,,,20.5201369,-103.454367,115716,user138
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,3814,Mujer,18,Trabajador/a,PRI,MOVIMIENTO CIUDADANO,,,20.5199199,-103.453389,115717,user149
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,3814,Mujer,38,Trabajador/a,PRI,MORENA,,,20.5192885,-103.4542264,115718,user140
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,4140,Mujer,21,Trabajador/a,MORENA,PRI,,,20.4864643,-103.4841999,115719,user140
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,4140,Mujer,28,Trabajador/a,Aún no decide,MOVIMIENTO CIUDADANO,,,20.5210899,-103.4561964,115720,user140
EQUIPO 4,ZAPOPAN,3119,Mujer,36,Trabajador/a,PRI,MORENA,PRI,MORENA,20.7073189,-103.452422,115721,user98
EQUIPO 4,ZAPOPAN,3119,Mujer,23,Trabajador/a,MOVIMIENTO CIUDADANO,MORENA,MOVIMIENTO CIUDADANO,MORENA,20.7071149,-103.4517403,115722,user98
EQUIPO 4,ZAPOPAN,3119,Hombre,40,Trabajador/a,Aún no decide,MORENA,Aún no decide,MORENA,20.7073527,-103.4518407,115723,user98
EQUIPO 4,ZAPOPAN,3119,Hombre,21,Trabajador/a,MOVIMIENTO CIUDADANO,PRI,MOVIMIENTO CIUDADANO,PRI,20.7075204,-103.4517253,115724,user186
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,3814,Hombre,43,Trabajador/a,MOVIMIENTO CIUDADANO,MORENA,,,20.520056,-103.4542012,115725,user91
EQUIPO 4,ZAPOPAN,3153,Hombre,24,Trabajador/a,Ninguno,Ninguno,Ninguno,PRI,20.7073715,-103.4520008,115726,user161
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,3814,Hombre,30,Trabajador/a,MOVIMIENTO CIUDADANO,Aún no decide,,,20.5201906,-103.4538135,115727,user91
EQUIPO 4,ZAPOPAN,3153,Mujer,18,Trabajador/a,MOVIMIENTO CIUDADANO,Ninguno,PARTIDO DEL TRABAJO,No contestó,20.7070478,-103.451877,115728,user161
EQUIPO 4,ZAPOPAN,3153,Mujer,62,Jubilado/a – pensionado/a,Ninguno,No contestó,PRI,PARTIDO DEL TRABAJO,20.707566,-103.4515208,115729,user161
EQUIPO 4,ZAPOPAN,3153,Hombre,36,Trabajador/a,PRI,No contestó,MOVIMIENTO CIUDADANO,No contestó,20.7075044,-103.4506122,115730,user161
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,3814,Mujer,45,Cuidado del hogar,Ninguno,Ninguno,,,20.5202164,-103.4536769,115731,user91
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,3814,Hombre,18,Desempleado,PRI,PARTIDO VERDE,,,20.5198841,-103.4547313,115732,user144
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,3814,Hombre,67,Jubilado/a – pensionado/a,Aún no decide,Aún no decide,,,20.5200469,-103.4543832,115733,user144
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,3814,Mujer,54,Trabajador/a,Aún no decide,Aún no decide,,,20.5196283,-103.4543815,115734,user144
EQUIPO 4,ZAPOPAN,3119,Mujer,37,Cuidado del hogar,Ninguno,MORENA,PARTIDO DEL TRABAJO,MORENA,20.7075024,-103.453381,115735,user136
EQUIPO 4,ZAPOPAN,3119,Mujer,18,Trabajador/a,PRI,MORENA,PRI,MORENA,20.7073867,-103.4535001,115736,user136
EQUIPO 4,ZAPOPAN,3119,Mujer,45,Cuidado del hogar,PARTIDO VERDE,MORENA,MOVIMIENTO CIUDADANO,MORENA,20.707371,-103.4534138,115737,user136
EQUIPO 4,ZAPOPAN,3119,Mujer,19,Estudiante,MOVIMIENTO CIUDADANO,PAN,PARTIDO VERDE,PAN,20.706966,-103.4535161,115738,user136
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3447,Mujer,19,Estudiante,MOVIMIENTO CIUDADANO,MORENA,,,20.5410537,-103.366366,115739,user193
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3447,Mujer,41,Cuidado del hogar,Aún no decide,Aún no decide,,,20.540983,-103.3658521,115740,user193
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3447,Mujer,37,Trabajador/a,Aún no decide,PAN,,,20.5393416,-103.3663704,115741,user193
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3470,Hombre,33,Trabajador/a,Aún no decide,MORENA,,,20.5411909,-103.3668693,115742,user83
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3470,Mujer,78,Cuidado del hogar,MORENA,MOVIMIENTO CIUDADANO,,,20.5410099,-103.3664113,115743,user83
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3470,Mujer,38,Trabajador/a,Aún no decide,MOVIMIENTO CIUDADANO,,,20.541039,-103.3656452,115744,user83
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3402,Mujer,50,Trabajador/a,MORENA,PAN,,,20.5162017,-103.3824768,115745,user79
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3402,Mujer,20,Trabajador/a,MORENA,PRI,,,20.5165191,-103.3829496,115746,user79
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3402,Mujer,26,Trabajador/a,MORENA,PRI,,,20.516004,-103.3827698,115747,user79
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3447,Hombre,45,Trabajador/a,MORENA,PRI,,,20.5419033,-103.3667594,115748,user79
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3447,Hombre,33,Trabajador/a,Aún no decide,MORENA,,,20.5413931,-103.3662149,115749,user79
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3447,Hombre,79,Jubilado/a – pensionado/a,MOVIMIENTO CIUDADANO,PRI,,,20.5414717,-103.365881,115750,user79
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3447,Hombre,70,Jubilado/a – pensionado/a,MORENA,PRI,,,20.5431869,-103.3662117,115751,user141
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3447,Hombre,25,Trabajador/a,MOVIMIENTO CIUDADANO,MORENA,,,20.5414088,-103.3659538,115752,user79
