Equipo,Municipio,Sección,Sexo,Edad,Ocupación,"31. Si el día de hoy fueran las elecciones para elegir la presidencia municipal, ¿por cuál de los siguientes partidos votaría?","32. Si el día de hoy fueran las elecciones para elegir la presidencia municipal, ¿por cuál de los siguientes partidos NUNCA votaría?","33. Si el día de hoy fueran las elecciones para elegir la diputación por el distrito 12, ¿por cuál de los siguientes partidos votaría?","34. Si el día de hoy fueran las elecciones para elegir la diputación por el distrito 12, ¿por cuál de los siguientes partidos NUNCA votaría?",_Capturar ubicación GPS_latitude,_Capturar ubicación GPS_longitude,_id,_submitted_by
EQUIPO 4,ZAPOPAN,3547,Mujer,65,Trabajador/a,Aún no decide,Aún no decide,Aún no decide,Aún no decide,20.6355693,-103.4698586,115557,user161
EQUIPO 4,ZAPOPAN,3547,Mujer,57,Cuidado del hogar,MOVIMIENTO CIUDADANO,MORENA,MOVIMIENTO CIUDADANO,MORENA,20.6362066,-103.4697851,115558,user161
EQUIPO 4,ZAPOPAN,3547,Mujer,45,Trabajador/a,Aún no decide,PRI,Aún no decide,Aún no decide,20.636523,-103.4699219,115559,user161
EQUIPO 4,ZAPOPAN,3547,Mujer,35,Cuidado del hogar,MORENA,PRI,MOVIMIENTO CIUDADANO,PRI,20.6360877,-103.4699975,115560,user136
EQUIPO 4,ZAPOPAN,3547,Mujer,57,Trabajador/a,Ninguno,MORENA,Ninguno,PAN,20.6365343,-103.4698579,115561,user161
EQUIPO 4,ZAPOPAN,3547,Mujer,51,Cuidado del hogar,Aún no decide,Aún no decide,Aún no decide,Aún no decide,20.63707,-103.4695654,115562,user136
EQUIPO 4,ZAPOPAN,3547,Mujer,60,Cuidado del hogar,No contestó,No contestó,No contestó,No contestó,20.6369342,-103.4690297,115563,user136
EQUIPO 4,ZAPOPAN,3547,Mujer,57,Cuidado del hogar,PARTIDO VERDE,PRI,PARTIDO VERDE,PRI,20.6363271,-103.4689793,115564,user136
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3464,Mujer,20,Trabajador/a,MOVIMIENTO CIUDADANO,MORENA,,,20.5324836,-103.3845583,115565,user83
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3464,Hombre,23,Trabajador/a,MOVIMIENTO CIUDADANO,MORENA,,,20.5323345,-103.3851729,115566,user83
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3464,Mujer,52,Trabajador/a,Aún no decide,MORENA,,,20.531983,-103.3840032,115567,user83
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3465,Hombre,49,Trabajador/a,MOVIMIENTO CIUDADANO,PAN,,,20.5298996,-103.3869266,115568,user82
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3465,Mujer,19,Trabajador/a,MOVIMIENTO CIUDADANO,PRI,,,20.5298996,-103.3869266,115569,user82
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3465,Mujer,65,Cuidado del hogar,Aún no decide,No contestó,,,20.5298245,-103.3848523,115570,user82
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3465,Hombre,44,Trabajador/a,PRI,PAN,,,20.532421,-103.384404,115571,user82
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3465,Mujer,77,Cuidado del hogar,MORENA,Ninguno,,,20.5320916,-103.3846344,115572,user82
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3465,Hombre,42,Trabajador/a,Aún no decide,Aún no decide,,,20.5316076,-103.3845875,115573,user82
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,4147,Mujer,49,Cuidado del hogar,MOVIMIENTO CIUDADANO,PRI,,,20.5293116,-103.3881187,115574,user149
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,4147,Mujer,43,Trabajador/a,MORENA,PRI,,,20.5290626,-103.3879493,115575,user149
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,4147,Mujer,53,Cuidado del hogar,MOVIMIENTO CIUDADANO,PRI,,,20.5291752,-103.3880046,115576,user138
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,4147,Mujer,45,Cuidado del hogar,Ninguno,PRI,,,20.5289881,-103.3879643,115577,user138
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,4147,Hombre,56,Jubilado/a – pensionado/a,MOVIMIENTO CIUDADANO,MORENA,,,20.5294026,-103.3883219,115578,user138
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,4147,Hombre,70,Trabajador/a,MORENA,Aún no decide,,,20.5292646,-103.3880177,115579,user91
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,4147,Mujer,28,Trabajador/a,Aún no decide,Aún no decide,,,20.528818,-103.3879078,115580,user91
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,4147,Mujer,57,Cuidado del hogar,MORENA,PRI,,,20.5288742,-103.3885847,115581,user140
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,4147,Mujer,31,Cuidado del hogar,PAN,MORENA,,,20.5285909,-103.3884429,115582,user140
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,4147,Hombre,21,Trabajador/a,MOVIMIENTO CIUDADANO,PRI,,,20.5291874,-103.3888897,115583,user140
EQUIPO 1,ZAPOPAN,3222,Hombre,52,Trabajador/a,MORENA,PRI,Aún no decide,PRI,20.6032395,-103.432094,115584,user137
EQUIPO 1,ZAPOPAN,3222,Mujer,98,Cuidado del hogar,Aún no decide,Ninguno,Ninguno,Ninguno,20.6034318,-103.432344,115585,user137
EQUIPO 1,ZAPOPAN,3222,Mujer,50,Cuidado del hogar,Aún no decide,Aún no decide,Aún no decide,Aún no decide,20.6034767,-103.4319979,115586,user137
EQUIPO 1,ZAPOPAN,3222,Mujer,53,Trabajador/a,MORENA,PRI,MORENA,PRI,20.6032957,-103.4319431,115587,user66
EQUIPO 1,ZAPOPAN,3222,Hombre,53,Trabajador/a,MORENA,Ninguno,MORENA,Ninguno,20.6026995,-103.4317403,115588,user66
EQUIPO 1,ZAPOPAN,3222,Hombre,24,Trabajador/a,PARTIDO VERDE,MORENA,PARTIDO VERDE,No contestó,20.6027617,-103.4316264,115589,user66
EQUIPO 1,ZAPOPAN,3222,Mujer,20,Trabajador/a,MORENA,PARTIDO VERDE,MORENA,PARTIDO VERDE,20.602836,-103.4315581,115590,user75
EQUIPO 1,ZAPOPAN,3222,Mujer,65,Jubilado/a – pensionado/a,No contestó,No contestó,No contestó,No contestó,20.6030568,-103.4317863,115591,user75
EQUIPO 1,ZAPOPAN,3222,Mujer,22,Cuidado del hogar,Ninguno,MORENA,Ninguno,Ninguno,20.6030563,-103.4317374,115592,user75
EQUIPO 4,ZAPOPAN,3541,Mujer,58,Cuidado del hogar,Aún no decide,Aún no decide,Aún no decide,Aún no decide,20.6381666,-103.4707969,115593,user98
EQUIPO 4,ZAPOPAN,3541,Mujer,44,Cuidado del hogar,Ninguno,Ninguno,Ninguno,Ninguno,20.6381921,-103.4707327,115594,user98
EQUIPO 4,ZAPOPAN,3541,Hombre,45,Trabajador/a,Ninguno,Ninguno,Ninguno,Ninguno,20.638352,-103.4707069,115595,user98
EQUIPO 4,ZAPOPAN,3541,Hombre,57,Trabajador/a,Aún no decide,Ninguno,Ninguno,Ninguno,20.6387939,-103.4705016,115596,user98
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,4147,Mujer,23,Cuidado del hogar,MORENA,PRI,,,20.5288656,-103.3887259,115597,user144
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,4147,Hombre,32,Trabajador/a,MOVIMIENTO CIUDADANO,PRI,,,20.5288455,-103.3886582,115598,user144
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,4147,Hombre,19,Trabajador/a,Aún no decide,Aún no decide,,,20.5293634,-103.3881936,115599,user144
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,4137,Mujer,23,Estudiante,PAN,MORENA,,,20.5358643,-103.4243611,115600,user144
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,4137,Mujer,45,Cuidado del hogar,MORENA,PRI,,,20.536166,-103.4243058,115601,user144
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,4137,Mujer,19,Cuidado del hogar,MOVIMIENTO CIUDADANO,MORENA,,,20.5357086,-103.4246001,115602,user144
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,4137,Hombre,50,Trabajador/a,Ninguno,Ninguno,,,20.5357411,-103.4248937,115603,user140
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,4137,Mujer,18,Estudiante,MORENA,PAN,,,20.5357795,-103.4255464,115604,user140
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,4137,Mujer,31,Trabajador/a,MOVIMIENTO CIUDADANO,PAN,,,20.5357835,-103.4252985,115605,user149
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,4137,Mujer,18,Trabajador/a,MORENA,PARTIDO DEL TRABAJO,,,20.5356641,-103.4247232,115606,user140
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3390,Mujer,22,Trabajador/a,MOVIMIENTO CIUDADANO,PAN,,,20.5250895,-103.3769977,115607,user83
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3390,Hombre,27,Trabajador/a,MOVIMIENTO CIUDADANO,MORENA,,,20.5247114,-103.37691,115608,user83
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3390,Mujer,18,Estudiante,MOVIMIENTO CIUDADANO,MORENA,,,20.5246433,-103.3768817,115609,user83
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3464,Mujer,47,Trabajador/a,MOVIMIENTO CIUDADANO,PARTIDO VERDE,,,20.525108,-103.3763666,115610,user82
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3464,Mujer,67,Cuidado del hogar,MOVIMIENTO CIUDADANO,PRI,,,20.5252615,-103.376344,115611,user82
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3464,Mujer,41,Cuidado del hogar,PAN,PARTIDO VERDE,,,20.525384,-103.3762551,115612,user82
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3464,Mujer,51,Trabajador/a,PRI,MORENA,,,20.5320399,-103.384047,115613,user141
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3390,Hombre,59,Trabajador/a,No contestó,PRI,,,20.5246785,-103.3766394,115614,user141
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,4137,Mujer,24,Cuidado del hogar,MOVIMIENTO CIUDADANO,PRI,,,20.5355142,-103.4242904,115615,user138
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,4137,Hombre,66,Trabajador/a,MORENA,MOVIMIENTO CIUDADANO,,,20.5355541,-103.4243727,115616,user138
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,4137,Hombre,44,Trabajador/a,PAN,PARTIDO VERDE,,,20.5355992,-103.4242287,115617,user138
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,4137,Mujer,55,Trabajador/a,Aún no decide,Aún no decide,,,20.5346069,-103.4252803,115618,user91
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,4137,Hombre,68,Jubilado/a – pensionado/a,MOVIMIENTO CIUDADANO,PRI,,,20.5352093,-103.4261011,115619,user91
EQUIPO 4,ZAPOPAN,3541,Mujer,54,Cuidado del hogar,Ninguno,No contestó,Ninguno,Ninguno,20.6381605,-103.4700262,115620,user136
EQUIPO 4,ZAPOPAN,3541,Mujer,64,Trabajador/a,PAN,PARTIDO VERDE,PAN,MOVIMIENTO CIUDADANO,20.6385401,-103.469484,115621,user136
EQUIPO 4,ZAPOPAN,3541,Mujer,48,Trabajador/a,PARTIDO VERDE,MORENA,PRI,PAN,20.6394772,-103.471709,115622,user136
EQUIPO 4,ZAPOPAN,3541,Mujer,26,Trabajador/a,No contestó,Aún no decide,Aún no decide,Aún no decide,20.6384807,-103.4720272,115623,user136
EQUIPO 4,ZAPOPAN,3541,Mujer,34,Trabajador/a,MOVIMIENTO CIUDADANO,PRI,MOVIMIENTO CIUDADANO,PRI,20.6369095,-103.4712985,115624,user161
EQUIPO 4,ZAPOPAN,3541,Mujer,52,Cuidado del hogar,Aún no decide,Aún no decide,Aún no decide,Aún no decide,20.6368164,-103.471358,115625,user161
EQUIPO 4,ZAPOPAN,3541,Mujer,31,Trabajador/a,Aún no decide,Aún no decide,Aún no decide,Aún no decide,20.6368256,-103.4713635,115626,user161
EQUIPO 4,ZAPOPAN,3541,Hombre,21,Trabajador/a,MORENA,PAN,MOVIMIENTO CIUDADANO,No contestó,20.7426919,-103.344765,115627,user161
EQUIPO 1,ZAPOPAN,3207,Mujer,22,Cuidado del hogar,MORENA,PRI,Aún no decide,Aún no decide,20.6130748,-103.4328125,115628,user137
EQUIPO 1,ZAPOPAN,3207,Hombre,83,Jubilado/a – pensionado/a,MORENA,PRI,MORENA,PRI,20.6130103,-103.4329903,115629,user137
EQUIPO 1,ZAPOPAN,3207,Mujer,18,Estudiante,Aún no decide,Aún no decide,Aún no decide,Aún no decide,20.6131018,-103.4331627,115630,user137
EQUIPO 1,ZAPOPAN,3207,Mujer,50,Cuidado del hogar,PRI,MORENA,PRI,MORENA,20.6130399,-103.4333159,115631,user137
EQUIPO 1,ZAPOPAN,3207,Mujer,67,Cuidado del hogar,Aún no decide,PRI,Aún no decide,Ninguno,20.6131964,-103.4339899,115632,user137
EQUIPO 1,ZAPOPAN,3207,Mujer,19,Estudiante,MOVIMIENTO CIUDADANO,PRI,MOVIMIENTO CIUDADANO,PRI,20.6123582,-103.4328708,115633,user137
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3464,Mujer,43,Trabajador/a,MOVIMIENTO CIUDADANO,MORENA,,,20.5320835,-103.3830215,115634,user79
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3464,Mujer,63,Trabajador/a,No contestó,No contestó,,,20.5323866,-103.3828445,115635,user79
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3464,Mujer,31,Cuidado del hogar,Aún no decide,PAN,,,20.532424,-103.3838151,115636,user79
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3390,Mujer,36,Cuidado del hogar,MOVIMIENTO CIUDADANO,PRI,,,20.5249348,-103.3755904,115637,user79
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3390,Hombre,69,Cuidado del hogar,MORENA,Aún no decide,,,20.5250334,-103.3758603,115638,user79
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3390,Hombre,30,Trabajador/a,MOVIMIENTO CIUDADANO,PRI,,,20.5249266,-103.3756089,115639,user79
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3390,Mujer,20,Cuidado del hogar,Ninguno,MORENA,,,20.5250834,-103.3767183,115640,user193
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3390,Mujer,33,Trabajador/a,Aún no decide,PRI,,,20.5247513,-103.3766914,115641,user193
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3390,Mujer,26,Trabajador/a,Ninguno,Aún no decide,,,20.5246776,-103.3762939,115642,user193
